Cultivar,Empresa,Floracion_dias,Altura_cm,Densidad_sem,Rendimiento,Aceite_porcentaje,Rendimiento_Ajustado,Campania,Localidad,Latitud,Longitud,Ensayo,Tipo Ensayo,Epoca,Distancia_surcos,Tipo_Siembra,Densidad_siembra,Fecha_Siembra,Testigo,Visible
ACA 203,ACA,,,43594,2688,43.89,2739,2010-2011,General Pico,-35.66668639,-63.75004639,General Pico  2010-2011,Convencional,Normal,70,Directa,43000,,NO,SI
ACA 203,ACA,,,45370,1080,43.16,1093,2010-2011,Villa Mirasol,-36.10005167,-63.88339056,Villa Mirasol  2010-2011,Convencional,Normal,,,,,NO,SI
ACA 203,ACA,81,197,,3130,40.89,3095,2011-2012,Reconquista,-29.14952389,-59.66645806,Reconquista  2011-2012,Convencional,Normal,,,,07/09/2011,SI,NO
ACA 203 CL,ACA,77,,65171,4775,45.8,4956,2007-2008,Anguil,-36.516765,-64.01673306,Anguil  2007-2008,Clearfield,Normal,70,Convencional,62000,25/102007,NO,SI
ACA 203 CL,ACA,77,157,62112,4284,47.83,4534,2007-2008,Balcarce,-37.84985917,-58.26744333,Balcarce  2007-2008,Clearfield,Normal,70,Directa,59000,30/10/2007,NO,SI
ACA 203 CL,ACA,80,159,47619,2165,45.16,2233,2007-2008,Las Toscas,-28.34944556,-59.26643694,Las Toscas  2007-2008,Clearfield,Normal,70,Convencional,45000,27/8/2007,NO,SI
ACA 203 CL,ACA,58,185,41799,2363,36.46,2232,2007-2008,Manfredi,-31.83306333,-63.75004361,Manfredi  2007-2008,Clearfield,Normal,70,Directa,44000,11/12/2007,NO,SI
ACA 203 CL,ACA,79,165,46561,3357,40.72,3314,2007-2008,Reconquista,-29.14952389,-59.66645806,Reconquista  2007-2008,Clearfield,Normal,70,Convencional,46000,24/8/2007,NO,SI
ACA 203 CL,ACA,80,115,61867,2027,47.17,2132,2008-2009,Balcarce,-37.84985917,-58.26744333,Balcarce  2008-2009,Clearfield,Normal,70,Directa,51000,23/10/2008,NO,SI
ACA 203 CL,ACA,73,118,45918,2119,42.89,2138,2008-2009,Barrow,-38.311904,-60.231644,Barrow  2008-2009,Clearfield,Normal,70,Convencional,46000,6/11/2008,NO,SI
ACA 203 CL,ACA,76,205,,5054,47.4,5327,2008-2009,Bellocq,-35.932778,-61.487778,Bellocq  2008-2009,Clearfield,Normal,70,Convencional,,16/10/2008,NO,SI
ACA 203 CL,ACA,62,182,41937,2739,44.1,2797,2008-2009,Manfredi,-31.83306333,-63.75004361,Manfredi  2008-2009,Clearfield,Normal,70,Directa,,6/11/2008,NO,SI
ACA 203 CL,ACA,60,157,38548,1806,43.07,1825,2008-2009,Manfredi,-31.83306333,-63.75004361,Manfredi  2008-2009,Clearfield,Normal,70,Directa,,6/11/2008,NO,SI
ACA 203 CL,ACA,84,116,52000,703,,,2008-2009,Mercedes,-34.66661194,-59.43311139,Mercedes  2008-2009,Clearfield,Normal,70,Directa,55000,4/9/2008,NO,SI
ACA 203 CL,ACA,73,140,58333,2336,45.65,2421,2008-2009,Rancul,-35.0666525,-64.68345083,Rancul  2008-2009,Clearfield,Normal,52,Directa,42000,4/11/2008,NO,SI
ACA 203 CL,ACA,84,125,46561,1499,47.81,1586,2008-2009,Reconquista,-29.14952389,-59.66645806,Reconquista  2008-2009,Clearfield,Normal,70,Directa,47000,25/8/2008,NO,SI
ACA 203 CL,ACA,63,175,67016,2510,47.23,2641,2009-2010,Balcarce,-37.84985917,-58.26744333,Balcarce  2009-2010,Convencional,Normal,52,Directa,50000,16/11/2009,NO,SI
ACA 203 CL,ACA,68,,45918,1423,47.76,1505,2009-2010,Barrow,-38.311904,-60.231644,Barrow  2009-2010,Convencional,Normal,52,Directa,,29/10/2009,NO,SI
ACA 203 CL,ACA,75,217,,4642,45.46,4803,2009-2010,Bellocq,-35.932778,-61.487778,Bellocq  2009-2010,Convencional,Normal,52,Directa,,27/10/2009,NO,SI
ACA 203 CL,ACA,75,200,52381,2353,48.04,2495,2009-2010,General Belgrano,-35.7666875,-58.4997,General Belgrano  2009-2010,Convencional,Normal,52,Convencional,48000,07/10/2009,NO,SI
ACA 203 CL,ACA,60,157,38548,1806,43.07,1825,2009-2010,Manfredi,-31.83306333,-63.75004361,Manfredi  2009-2010,Clearfield,Normal,70,Directa,39000,19/11/2009,NO,SI
ACA 203 CL,ACA,,,,2367,56.7,2715,2009-2010,Parana,-31.73305611,-60.53317889,Parana  2009-2010,Convencional,Normal,,,,23/09/2009,NO,SI
ACA 203 CL,ACA,55,178,54258,3729,44.67,3829,2010-2011,Anguil,-36.516765,-64.01673306,Anguil  2010-2011,Convencional,Normal,52,Directa,45000,19/11/2010,NO,SI
ACA 203 CL,ACA,75,155,55511,2847,45.31,2941,2010-2011,Balcarce,-37.84985917,-58.26744333,Balcarce  2010-2011,Convencional,Normal,52,Directa,,02/11/2010,NO,SI
ACA 203 CL,ACA,78,173,,2776,43.53,2818,2010-2011,Barrow,-38.311904,-60.231644,Barrow  2010-2011,Convencional,Normal,52,Directa,45000,25/10/2010,NO,SI
ACA 203 CL,ACA,73,182,,4833,46.08,5030,2010-2011,Bellocq,-35.932778,-61.487778,Bellocq  2010-2011,Convencional,Normal,52,Directa,,26/10/2010,NO,SI
ACA 203 CL,ACA,74,210,49359,2911,48.02,3086,2010-2011,General Belgrano,-35.7666875,-58.4997,General Belgrano  2010-2011,Convencional,Normal,52,Directa,50000,24/10/2010,NO,SI
ACA 203 CL,ACA,66,140,54945,3275,42.8,3301,2010-2011,Intendente Alvear,-35.24999,-63.566695,Intendente Alvear  2010-2011,Clearfield,Normal,52,Directa,48000,28/10/2010,NO,SI
ACA 203 CL,ACA,62,135,26444,3504,44.86,3604,2010-2011,Manfredi,-31.83306333,-63.75004361,Manfredi  2010-2011,Clearfield,Normal,52,Directa,43000,24/11/2010,NO,SI
ACA 203 CL,ACA,,,58929,3225,45.91,3351,2010-2011,Miramar,-38.25021556,-57.83298972,Miramar  2010-2011,Convencional,Normal,52,Directa,48000,28/10/2010,NO,SI
ACA 203 CL,ACA,84,180,,3296,47.03,3462,2010-2011,Reconquista,-29.14952389,-59.66645806,Reconquista  2010-2011,Convencional,Normal,,,,09/09/2010,NO,SI
